Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
45452980,A Manga Lover's Tokyo Travel Guide: My Favorite Things to See and Do in Japan,Evangeline Neo,"Neo, Evangeline",,"=""4805315474""","=""9784805315477""",5,4.03,Tuttle Publishing,Paperback,128,2019,2019,2021/06/20,2021/06/20,graphic-novels,graphic-novels (#3),read,"I liked her honesty if she did not like the food or revealing her disappointment if the place she visited was not up to her expectations. It's as if I can feel her experience when she is sharing her honest reviews about a particular place or food. The content is very informative, and the drawings are very lively with various expressions. At least I didn't feel like reading a tourism promotion book.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/06/20/a-manga-lovers-tokyo-travel-guide-my-favorite-things-to-see-and-do-in-japanby-evangeline-neo/"">A Manga Lover's Tokyo Travel Guide: My Favorite Things to See and Do in Japan by Evangeline Neo</a>.",,,1,,,0,,,,,
56419425,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",,"=""""","=""9781782275589""",5,3.93,Pushkin Press,ebook,224,2020,2017,2021/06/12,2021/06/17,"ebooks, horror, favourites-or-memorable","ebooks (#241), horror (#37), favourites-or-memorable (#98)",read,"It feels like reading a story of running a meat business but swapping animals with human meat. Am I a cannibal or a cold-blooded person if I loved the story? But I won't turn into a cannibal because I can't imagine how tasty is human meat, as mentioned in the book. To be honest, the story provides gruesome details of meat processing is almost the same as what humans do to animals. I wonder how many people will switch to become a vegan after reading this book. The realism is undeniable with the detailed procedures in processing human meat and flaying machine to rip the skin into perfection. The tannery owner shows a sample of skin from a folder. It reminds me of choosing a sofa when the salesperson offers you a thick folder with sample fabrics and leathers.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/06/12/tender-is-the-flesh-by-agustina-bazterrica/"">Tender Is the Flesh by Agustina Bazterrica</a>.",,,1,,,0,,,,,
56419391,Mirror Mirror,Nick Louth,"Louth, Nick",,"=""""","=""9780955493973""",2,4.03,Harriman House,ebook,432,2016,,2021/06/03,2021/06/02,"thriller, ebooks","thriller (#59), ebooks (#238)",read,"To be honest, maybe I'm too old to read this kind of story. After reading this book, I wonder if maybe my age is unsuitable for reading about celebrities, masculine bodyguard and lunatic romance. I saw most reviewers of this book on Goodreads were so enthralled by Virgil. I really couldn't grasp that excitement as I felt most of the characters are lacking depth. <br/><br/>There were too many descriptions about Mira's beauty and every person that Mira meets. More than half of the story is not related to the storyline but about Mira's fame or celebrity life. If Mira is a real person, I guess I had just finished reading her biography. <br/><br/>In summary, this story is about Mira's past crime catching her up and everyone around her trying to protect their goddess from falling into the devastation that will reveal the truth of the crime.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/06/03/mirror-mirror-by-nick-louth/"">Mirror Mirror by Nick Louth</a>.",,,1,,,0,,,,,
54407366,The Plague,Albert Camus,"Camus, Albert",,"=""938971690X""","=""9789389716900""",5,4.01,General Press,ebook,,2020,1947,2020/08/27,2020/08/27,"ebooks, classics, book-to-tv-or-movie, favourites-or-memorable, inspirational","ebooks (#202), classics (#41), book-to-tv-or-movie (#210), favourites-or-memorable (#11), inspirational (#20)",read,"I know it's odd that I'm trying to relate to a story which I had recently read where the homunculus or a mutant subject looks down on humans and saying humans are so predictable. After reading this book, I feel ashamed and hate to agree with the homunculus. This story was written in so many decades ago, but there are so many things occurring right now, which have a lot of resemblance with what the author mentioned in the book.<br/><br/><blockquote><br/>""In this respect our townsfolk were like everybody else, wrapped up in themselves; in other words they were humanists: they disbelieved in pestilences.<br/> <br/>A pestilence isn't a thing made to man's measure; therefore we tell ourselves that pestilence is a mere bogy of the mind, a bad dream that will pass away. But it doesn't always pass away and, from one bad dream to another, it is men who pass away, and the humanists first of all, because they haven't taken their precautions.<br/> <br/>Our townsfolk were not more to blame than others; they forgot to be modest, that was all, and thought that everything still was possible for them; which presupposed that pestilences were impossible. They went on doing business, arranged for journeys, and formed views. How should they have given a thought to anything like plague, which rules out any future, cancels journeys, silicones the exchange of views. They fancied themselves free, and no one will ever be free so long as there are pestilences.""<br/></blockquote><br/><br/><b>Book Review: </b> <a href=""https://chyneyee.com/2020/08/27/the-plague-albert-camus/"">The Plague by Albert Camus</a>.",,,1,,,0,,,,,
30262723,Sachiko: A Nagasaki Bomb Survivor's Story,Caren Stelson,"Stelson, Caren",,"=""151240893X""","=""9781512408935""",5,4.25,Carolrhoda Books (R),ebook,144,2016,2016,2021/02/11,2021/02/15,"library-loan, ebooks, autobiography-biography-memoir, favourites-or-memorable, inspirational","library-loan (#122), ebooks (#223), autobiography-biography-memoir (#34), favourites-or-memorable (#4), inspirational (#19)",read,"I have to take a momentary break for every few pages that I’ve read. This is a heartwrenching story of Sachiko recounting her memories during the Nagasaki bombing when she was six years old.<br/><br/>The year 2021 has only just begun. And I already felt this book will be one of the most unforgettable books that I’ve read this year, and probably in my entire life.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/02/11/sachiko-a-nagasaki-bomb-survivors-story-by-caren-stelson/"">Sachiko: A Nagasaki Bomb Survivor's Story by Caren Stelson</a>.",,"Online library loan from Hornsby Library, Sydney.",1,,,0,,,,,
53255954,"See What You Made Me Do: Power, Control and Domestic Violence",Jess  Hill,"Hill, Jess",,"=""1743820860""","=""9781743820865""",5,4.70,Black Inc.,ebook,416,2019,2019,2021/04/26,2021/04/26,"non-fiction, book-to-tv-or-movie, ebooks, library-loan, australian, favourites-or-memorable, inspirational","non-fiction (#21), book-to-tv-or-movie (#223), ebooks (#232), library-loan (#125), australian (#19), favourites-or-memorable (#93), inspirational (#18)",read,"This book covers every perspective - including some of the commonly overlooked areas by society regarding domestic abuse. It begins with analysing the perpetrator's abusive mind and dissecting what other possible causes lead them to be an abuser. From understanding the abuser's behaviours, the book discusses how victims being treated by the police and the family courts in a patriarchal society. It brings us to the world of victims (mostly are women and children) and how victims' well-being is always ignored by the authorities. Undertrained police in handling domestic violence and the failing of family court that adopts overrated 'experts' in custody cases have been well-exposed in the book.<br/><br/><a href=""https://chyneyee.com/2021/04/26/see-what-you-made-me-do-power-control-and-domestic-violence-by-jess-hill/"">See What You Made Me Do: Power, Control and Domestic Violence by Jess Hill</a>.",,"Loan online from Hornsby Library, Sydney.",1,,,0,,,,,
37573587,Sleep Over: An Oral History of the Apocalypse,H.G. Bells,"Bells, H.G.",,"=""194045672X""","=""9781940456720""",2,3.64,Talos,ebook,376,2018,2018,2021/06/10,2021/06/09,"science-fiction, ebooks, favourites-or-memorable","science-fiction (#6), ebooks (#240), favourites-or-memorable (#97)",read,"I really wanted to like this book. It started so well, and I thought this would definitely be a 4 stars book for me. <br/><br/>The various perspectives from different roles reflect the author’s vast imagination, but the stories are written in a monotonous style. For example, someone who is almost dying should be expressing themselves in a more hopeless and suffering tone, whereas a toddler should have a naive and confused manner in the apocalyptic event. My personal interpretation when I was reading this book is both characters have the same tone. Actually, all characters telling their stories in the same manner. Although the author has a brilliant concept of involving the perspectives from all walks of people in the mass insomnia, the execution of the idea is not what I expected. <br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/06/10/sleep-over-an-oral-history-of-the-apocalypse-by-h-g-bells/"">Sleep Over: An Oral History of the Apocalypse by H.G. Bells</a>.",,,1,,,0,,,,,
56419182,The Seance in Apartment 10,Ambrose Ibsen,"Ibsen, Ambrose",,"=""""","=""1230002478449""",3,3.69,Ambrose Ibsen,ebook,183,2018,2017,2021/06/07,2021/06/07,"ebooks, horror","ebooks (#239), horror (#36)",read,"It can be a touch of scariness or maybe not at all, but it’s definitely not sufficient to be categorised as horror or creepy. Occult believers are probably more suitable than me to give their thoughts about the story. It’s a simple short story to read. The bad thing is none of the characters in the story is to my liking. I don’t know why everyone seems so pushy and stubborn for their own reasons.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/06/07/the-seance-in-apartment-10-by-ambrose-ibsen/"">The Seance in Apartment 10 by Ambrose Ibsen</a>.",,,1,,,0,,,,,
50719643,The Grace Year,Kim Liggett,"Liggett, Kim",,"=""1473582695""","=""9781473582699""",5,4.15,Cornerstone Digital,ebook,416,2020,2019,2021/05/26,2021/05/26,"ebooks, science-fiction, fantasy, favourites-or-memorable","ebooks (#237), science-fiction (#5), fantasy (#18), favourites-or-memorable (#96)",read,"The writing is beautifully poetic, and the diction is brilliant. I’m not a romance novel fan, but the romance, loveship, and tight bonds in the story really touched my heart. The characters are just gracefully falling in love with such a pure and simple heart.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/05/26/the-grace-year-by-kim-liggett/"">The Grace year by Kim Liggett</a>.",,,1,,,0,,,,,
17571466,The Troop,Nick Cutter,"Cutter, Nick",,"=""1476717710""","=""9781476717715""",3,3.79,Gallery Books,Hardcover,358,2014,2014,2015/06/21,2014/12/16,"horror, thriller, library-loan, favourites-or-memorable","horror (#3), thriller (#27), library-loan (#1), favourites-or-memorable (#95)",read,"https://chyneyee.com/2015/06/21/the-troop-nick-cutter/<br/><br/>This story is absolutely fits into horror genre although I never felt scared or thrilled when reading the book but I did have the gross and disgust feelings. For me, I feel horror stories should contain the gross and disgust elements to fit into that genre. Although I was struggling to finish the book but  overall, the story is not bad. Probably it's just me that need time to adapt with the author's writing style which seems slightly difficult for me to grasp the meaning in an instant manner.",,Borrow from Melbourne Docklands library,1,,,0,,,,,
